business_name,inflow_amount,gst_delay_days,bounce_count
Aditya Exports 1,40217,30,2
Raj Tech 2,485558,5,4
Pooja Enterprises 3,791542,22,1
Neha Textiles 4,358581,27,5
Vikram Enterprises 5,659549,19,1
Aditya Logistics 6,782485,5,5
Raj Industries 7,793927,23,3
Pooja Textiles 8,66127,22,2
Raj Logistics 9,402274,27,3
Vikram Textiles 10,527479,24,4
Pooja Industries 11,313250,1,2
Aditya Enterprises 12,754501,17,0
Neha Enterprises 13,205381,6,4
Aditya Traders 14,564038,26,5
Pooja Tech 15,575184,14,0
Anjali Solutions 16,616431,6,1
Aditya Industries 17,573287,0,1
Raj Enterprises 18,639528,12,3
Aditya Industries 19,411262,30,3
Sneha Traders 20,785063,1,1
Vikram Farms 21,379642,28,3
Sneha Solutions 22,424870,30,3
Anjali Industries 23,366680,24,4
Rohan Traders 24,71376,26,3
Raj Solutions 25,115172,29,0
Pooja Farms 26,267690,18,3
Karan Textiles 27,355760,15,4
Rohan Solutions 28,344293,27,2
Aditya Textiles 29,576039,10,5
Sneha Exports 30,329970,24,1
Rohan Enterprises 31,110375,28,0
Karan Textiles 32,36966,7,5
Rahul Traders 33,674035,19,1
Neha Tech 34,170849,21,0
Raj Tech 35,727954,17,1
Vikram Exports 36,367544,15,3
Raj Solutions 37,46354,0,2
Raj Enterprises 38,135998,29,0
Rohan Traders 39,245288,10,4
Sneha Traders 40,276877,26,0
Vikram Solutions 41,103185,13,1
Sneha Exports 42,730333,5,3
Pooja Textiles 43,388427,3,1
Neha Solutions 44,341391,29,3
Rohan Textiles 45,693907,21,4
Rahul Tech 46,665600,29,2
Neha Logistics 47,297132,0,3
Rahul Solutions 48,479661,6,5
Rahul Solutions 49,400754,26,1
Sneha Solutions 50,165609,25,0
Anjali Traders 51,284597,14,5
Vikram Tech 52,632538,26,4
Karan Farms 53,238724,8,1
Karan Textiles 54,260678,0,5
Anjali Traders 55,31876,20,4
Sneha Exports 56,334113,0,5
Aditya Exports 57,149217,20,1
Rohan Solutions 58,358310,25,2
Neha Industries 59,744397,7,4
Rohan Textiles 60,401328,29,0
Pooja Tech 61,708425,22,4
Neha Farms 62,453779,20,0
Neha Textiles 63,363751,30,0
Aditya Logistics 64,751390,28,4
Pooja Textiles 65,433319,29,2
Aditya Tech 66,532284,12,0
Vikram Textiles 67,252973,19,5
Pooja Solutions 68,239987,18,3
Rahul Textiles 69,705477,4,2
Neha Farms 70,655475,16,4
Sneha Industries 71,188887,9,1
Raj Industries 72,646484,17,1
Karan Exports 73,313306,19,4
Rohan Industries 74,360449,21,5
Rohan Industries 75,149782,8,2
Vikram Exports 76,721910,17,2
Karan Solutions 77,142494,22,4
